benchmark_dir,name,length,PEG2PEGTIME,PBTIME,ENGINETIME,Optimization took,nodes:,values:
java/polybench/stencils/,"Fdtd2d: void <init>()",4,223,153,4,295,10,10
java/polybench/stencils/,"Fdtd2d: void initArray(int,int,int,double[][],double[][],double[][],double[])",73,20137,19445,618,20359,1000,1418
java/polybench/stencils/,"Fdtd2d: void printArray(int,int,double[][],double[][],double[][])",158,3949,3339,521,4184,643,1254
java/polybench/stencils/,"Fdtd2d: void kernelFDTD2D(int,int,int,double[][],double[][],double[][],double[])",162,2026,1445,491,2266,597,1780
java/polybench/stencils/,"Fdtd2d: void main(java.lang.String[])",49,266,179,12,349,40,40
java/polybench/stencils/,"Adi: void <init>()",4,218,150,4,292,10,10
java/polybench/stencils/,"Adi: void initArray(int,double[][])",30,4326,3608,644,4426,1028,1152
java/polybench/stencils/,"Adi: void printArray(int,double[][],java.io.PrintStream)",58,5997,5314,604,6126,785,1095
java/polybench/stencils/,"Adi: void kernelADI(int,int,double[][],double[][],double[][],double[][])",384,13658,13086,476,14019,702,1842
java/polybench/stencils/,"Adi: void main(java.lang.String[])",36,260,177,12,346,37,37
java/polybench/stencils/,"Jacobi2D: void <init>()",4,219,152,4,292,10,10
java/polybench/stencils/,"Jacobi2D: void initArray(int,double[][],double[][])",50,21566,20876,617,21711,895,1226
java/polybench/stencils/,"Jacobi2D: void printArray(int,double[][])",44,1727,1054,599,1864,688,1080
java/polybench/stencils/,"Jacobi2D: void kernelJacobi2D(int,int,double[][],double[][])",133,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
java/polybench/stencils/,"Jacobi2D: void main(java.lang.String[])",44,281,192,21,366,71,71
java/uninlined-spec/scimark/,"LU: void <init>(int)",7,229,156,5,305,14,14
java/uninlined-spec/scimark/,"LU: void main(int)",9,231,159,6,312,18,18
java/uninlined-spec/scimark/,"LU: double num_flops(int)",14,237,158,14,311,16,13
